cluster,size,top_terms
0,69,"shoes, sneakers, casual, footwear, breathable, women, mesh, walking"
1,33,"watch, quartz, dial, gold, bracelet, wristwatch, men, watches"
2,12,"belt, chain, punk, jeans, unisex, y2k, accessory, charm"
3,29,"watch, bluetooth, tracker, smart, rate, heart, monitor, fitness"
4,21,"fitness, equipment, collection, uk, gym, shipping, lighting, light"
5,22,"slippers, boots, winter, plush, shoes, footwear, slip, indoor"
6,54,"toy, toys, water, pet, uk, gun, kids, supplies"
7,15,"denim, pants, jeans, straight, trousers, stretch, casual, business"
8,20,"sleeve, dress, short, clothing, children, shirt, kids, tops"
